"산업및매출액규모별(1)",산업및매출액규모별(2),산업및매출액규모별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"산업및매출액규모별(1)",산업및매출액규모별(2),산업및매출액규모별(3),응답기업수 (개),공정 지능화 수준 (%),공정 지능화 수준 (%),공정 지능화 수준 (%),공정 지능화 수준 (%),공정 지능화 수준 (%),공정 지능화 수준 (%),공정 지능화 수준 (%),시설 지능화 수준 (%),시설 지능화 수준 (%),시설 지능화 수준 (%),시설 지능화 수준 (%),시설 지능화 수준 (%),시설 지능화 수준 (%),시설 지능화 수준 (%),사무 지능화 수준 (%),사무 지능화 수준 (%),사무 지능화 수준 (%),사무 지능화 수준 (%),사무 지능화 수준 (%),사무 지능화 수준 (%),사무 지능화 수준 (%)
"산업및매출액규모별(1)",산업및매출액규모별(2),산업및매출액규모별(3),소계,수작업,IT시스템 사용,IT시스템 사용,IT시스템 사용,IT시스템 사용,IT시스템 사용,IT시스템 사용,수작업,IT시스템 사용,IT시스템 사용,IT시스템 사용,IT시스템 사용,IT시스템 사용,IT시스템 사용,수작업,IT시스템 사용,IT시스템 사용,IT시스템 사용,IT시스템 사용,IT시스템 사용,IT시스템 사용
"산업및매출액규모별(1)",산업및매출액규모별(2),산업및매출액규모별(3),소계,소계,소계,전산화,문제식별,문제진단,미래예측,자율대응,소계,소계,전산화,문제식별,문제진단,미래예측,자율대응,소계,소계,전산화,문제식별,문제진단,미래예측,자율대응
"전체",소계,소계,4000,62.7,37.4,27.7,5.0,2.4,0.6,1.6,63.5,36.5,27.0,5.3,2.4,0.6,1.3,39.4,60.6,51.2,4.6,2.8,0.9,1.2
"전체",5~20억원 미만,소계,692,80.2,19.8,14.0,2.9,1.4,0.1,1.3,79.3,20.7,15.2,3.2,1.3,0.1,0.9,57.9,42.1,36.4,2.7,1.9,0.1,0.9
"전체",20~50억원 미만,소계,719,69.3,30.7,23.8,3.1,1.8,0.7,1.4,70.8,29.2,22.8,2.6,1.5,0.7,1.5,47.6,52.4,46.0,2.2,2.4,0.6,1.3
"전체",50~80억원 미만,소계,452,69.9,30.1,23.0,4.2,1.8,0.2,0.9,70.4,29.6,21.2,5.5,1.8,0.2,0.9,45.4,54.6,46.9,5.1,1.5,0.4,0.7
"전체",80~120억원 미만,소계,428,62.6,37.4,28.0,4.7,2.8,0.7,1.2,64.5,35.5,25.5,6.1,2.6,0.7,0.7,36.2,63.8,53.3,5.6,2.1,1.6,1.2
"전체",120~200억원 미만,소계,493,57.8,42.2,32.3,3.7,2.8,1.0,2.4,59.2,40.8,30.6,4.5,2.8,0.8,2.0,31.8,68.2,57.4,5.3,2.8,0.8,1.8
"전체",200~500억원 미만,소계,707,54.2,45.8,34.2,7.4,2.8,0.4,1.0,55.2,44.8,34.1,7.1,3.0,0.1,0.6,31.7,68.3,57.7,5.8,3.1,1.0,0.7
"전체",500~1500억원 미만,소계,509,39.5,60.5,42.4,9.8,3.9,1.4,2.9,40.7,59.3,41.7,9.2,4.3,1.6,2.6,18.1,81.9,65.2,6.7,5.5,2.2,2.4
"전체",제조업,소계,1984,61.1,38.9,31.2,4.6,1.9,0.4,0.8,61.9,38.1,30.7,4.7,1.9,0.4,0.3,39.6,60.4,53.6,3.5,2.1,0.9,0.4
"전체",제조업,5~20억원 미만,318,84.0,16.0,12.9,1.9,0.6,0.0,0.6,84.0,16.0,12.6,2.8,0.6,0.0,0.0,62.9,37.1,34.6,1.3,0.9,0.3,0.0
"전체",제조업,20~50억원 미만,346,71.4,28.6,25.1,2.9,0.6,0.0,0.0,72.3,27.7,24.6,2.0,0.9,0.3,0.0,49.7,50.3,46.0,2.0,1.7,0.6,0.0
"전체",제조업,50~80억원 미만,224,68.3,31.7,26.8,2.7,2.2,0.0,0.0,68.8,31.3,25.4,3.6,2.2,0.0,0.0,43.3,56.7,49.6,4.0,2.2,0.4,0.4
"전체",제조업,80~120억원 미만,211,61.6,38.4,29.9,3.8,3.3,0.5,0.9,64.9,35.1,26.5,5.2,2.4,0.5,0.5,35.1,64.9,56.4,4.3,1.9,1.4,0.9
"전체",제조업,120~200억원 미만,236,55.5,44.5,39.4,2.1,1.7,0.4,0.8,55.1,44.9,39.4,3.0,1.7,0.4,0.4,33.1,66.9,62.3,3.0,0.8,0.4,0.4
"전체",제조업,200~500억원 미만,363,49.6,50.4,38.8,7.7,2.2,0.3,1.4,50.1,49.9,39.9,7.2,2.5,0.0,0.3,30.6,69.4,61.4,4.7,2.5,0.8,0.0
"전체",제조업,500~1500억원 미만,286,36.7,63.3,46.9,9.8,3.5,1.4,1.7,38.1,61.9,46.5,9.1,3.5,1.7,1.0,18.5,81.5,67.8,5.6,4.5,2.1,1.4
"전체",건설업,소계,444,74.1,25.9,19.4,3.6,0.9,0.2,1.8,75.9,24.1,17.3,4.3,1.1,0.0,1.4,46.4,53.6,45.9,5.0,0.9,0.2,1.6
"전체",건설업,5~20억원 미만,85,81.2,18.8,12.9,1.2,1.2,0.0,3.5,83.5,16.5,12.9,1.2,0.0,0.0,2.4,56.5,43.5,40.0,2.4,0.0,0.0,1.2
"전체",건설업,20~50억원 미만,76,78.9,21.1,18.4,0.0,0.0,0.0,2.6,84.2,15.8,13.2,0.0,0.0,0.0,2.6,50.0,50.0,47.4,0.0,0.0,0.0,2.6
"전체",건설업,50~80억원 미만,51,82.4,17.6,11.8,2.0,2.0,0.0,2.0,82.4,17.6,11.8,3.9,2.0,0.0,0.0,60.8,39.2,31.4,5.9,2.0,0.0,0.0
"전체",건설업,80~120억원 미만,45,68.9,31.1,20.0,6.7,2.2,0.0,2.2,68.9,31.1,17.8,8.9,2.2,0.0,2.2,42.2,57.8,46.7,4.4,0.0,0.0,6.7
"전체",건설업,120~200억원 미만,52,80.8,19.2,13.5,3.8,0.0,0.0,1.9,82.7,17.3,11.5,3.8,0.0,0.0,1.9,36.5,63.5,55.8,5.8,0.0,0.0,1.9
"전체",건설업,200~500억원 미만,78,75.6,24.4,17.9,3.8,1.3,1.3,0.0,75.6,24.4,16.7,5.1,2.6,0.0,0.0,47.4,52.6,43.6,5.1,2.6,1.3,0.0
